유형,대회명,웹페이지,시작일,종료일
공모전,AI Edu Hackathon (AI 해커톤),https://ai-eduhackathon.imweb.me/,2023-06-19,2023-07-31
공모전,2023년 KHIDI 공공데이터 활용 아이디어 공모전,https://www.khidi.or.kr/board/matrixView?linkId=48895982&menuId=MENU00099&titleId=486054&searchCodeNm1=%EB%8F%99%ED%96%A5/%EC%A0%95%EC%B1%85/%EC%A0%9C%EB%8F%84&searchCodeNm2=%EB%B3%B4%EA%B1%B4%EC%82%B0%EC%97%85%EC%B4%9D%EA%B4%84&searchCode1=0001&searchCode2=0008,2023-06-12,2023-07-31
공모전,2023 디스플레이 챌린지 (DISPLAY CHALLENGE) 공모전,https://www.displaychallenge.co.kr/,2023-05-31,2023-07-31
공모전,제11회 범정부 공공데이터 활용 창업경진대회,https://www.data.go.kr/bbs/ntc/selectNotice.do?pageIndex=1&originId=NOTICE_0000000003047&atchFileId=FILE_000000002714661&nttApiYn=N&searchCondition2=2&searchKeyword1=,2023-03-01,2023-08-01
공모전,2023년 가명정보 활용 우수사례·아이디어 경진대회,https://data.privacy.go.kr/notice/openSqareNoticeDtl.html?noticeSeq=29,2023-05-30,2023-08-04
공모전,제4회 예술데이터가 바꾸는 세상 아이디어톤,https://www.arko.or.kr/board/view/4053?bid=&page=&cid=1806546,2023-07-10,2023-08-05
공모전,2023 비씨카드 신사업 아이디어 공모전 렛츠비씨(Let's Be Creative),https://www.bccard.com/app/card/BcnewsViewActn.do?newno=1623&newsurl=/card/html/etc/notice/1209333_21460.jsp,2023-07-10,2023-08-06
공모전,제11회 NTIS 정보활용 경진대회,https://www.ntis.go.kr/ThNewBoardView.do?idx=67581&boardDivCd=02&searchWord=&pageNumber=1&boardDivSeqNo=1&searchType=,2023-06-23,2023-08-06
경진대회,월간 데이콘 이미지 기반 질의 응답 AI 경진대회,https://dacon.io/competitions/official/236118/overview/description,2023-07-10,2023-08-07
경진대회,2023 CONNECT SUMMER AI 리그,https://aiconnect.kr/community/detail/173,2023-06-28,2023-08-07
